id,label,message
1,scam,"Congratulations! You have won ₹25,00,000 in the Airtel Lucky Draw. Claim now at http://bit.ly/win-now or call 1800-XXX-XXXX."
2,scam,Subject: Your account has been suspended. Login now at http://bank-login-alert.com to restore access.
3,scam,Sign in to receive your payment: https://microsoft-verification-check.xyz/auth
4,scam,"Earn ₹50,000/week working from home. Join our premium stock group: https://whatsappgroup-freecash.net"
5,scam,Your Amazon account is locked. Visit https://amaz0n-support-services.com to resolve.
6,scam,Subject: Urgent PayPal Notice. Please update your info here: https://paypal-verifx.cc/login
7,scam,Final reminder! Your vehicle insurance expired. Renew now: http://fakesite.com/insurance
8,scam,Get free Netflix for a year! Only for first 100 users: https://netfliix-offer.com
9,scam,You’ve been selected for a government grant. Apply at http://gov-grant-now.biz
10,scam,We detected unauthorized access to your Facebook. Reset your password at http://facebook-fix.me
11,safe,"Hi, just checking in to see if you’re free for lunch this Friday?"
12,safe,Your Amazon order #384920 has been shipped and will be delivered by Friday.
13,safe,Thanks for signing up for our newsletter! You'll now receive weekly updates.
14,safe,Reminder: Your yoga class starts at 7 PM today at FitZone Studio.
15,safe,Meeting confirmed with the design team at 3 PM on Zoom.
16,safe,Your bank statement for May 2025 is now available in your netbanking portal.
17,safe,"Hello, attached is the invoice for your recent purchase. Thank you!"
18,safe,Can you please review the draft proposal by tomorrow?
19,safe,The weather forecast predicts heavy rainfall this weekend. Stay safe!
20,safe,Please upload your ID proof to HR portal by end of day.
21,scam,Exclusive Crypto Giveaway! Send us 0.01 BTC and we’ll return 0.1 BTC instantly: http://bitfraud.net
22,scam,Your PC is infected. Download antivirus now from http://malwarefree.in/download
23,scam,Apple ID alert! Your account has been disabled. Fix it now: http://appleverify.co
24,scam,This is your final notice from the IRS. Pay now to avoid arrest: http://irs-payment.org
25,scam,"Dear Student, Get free student loans relief. Visit http://edu-relief-zone.com"
